"","long","lat","comclust","temperature","NO3","salinity","dataset"
"1",72.1568,-2.0465,5,27.6221,0,35.3885,"V9-total"
"2",-79.5395,29.6394,1,24.997917,1.190321,36.212042,"V9-total"
"3",-140.285,-8.9109,2,22.1151,5.023264,35.88072,"V9-total"
"4",-66.5435,33.061,1,20.12165,0,36.56745,"V9-total"
"5",-121.865,32.931,1,17.27271,0,33.494955,"V9-total"
"6",-79.7064,29.851,4,24.792543,0.90708,36.213254,"V9-total"
"7",-153.676,3e-04,5,26.074467,2.467162,35.100467,"V9-total"
"8",-116.647,14.2075,1,NA,NA,NA,"V9-total"
"9",-116.647,14.2075,1,NA,NA,NA,"V9-total"
"10",-140.285,-8.9109,5,22.1151,5.023264,35.88072,"V9-total"
"11",-16.8794,43.7056,1,NA,NA,NA,"V9-total"
"12",-56.0916,-63.8768,3,-0.249275,NA,34.200608,"V9-total"
"13",-153.066,6.671,5,28.327,0,34.758825,"V9-total"
"14",-134.924,-23.1595,3,24.060917,0,36.493267,"V9-total"
"15",-94.9527,6.4998,4,26.273758,2.892241,33.102675,"V9-total"
"16",-153.066,6.671,4,28.327,0,34.758825,"V9-total"
"17",-102.943,6.3332,4,26.6362,0,33.407042,"V9-total"
"18",-134.961,-23.2329,3,24.266583,0,36.494958,"V9-total"
"19",-73.1066,-34.0614,3,18.014508,0,34.295417,"V9-total"
"20",-134.923,-23.0242,3,23.635467,0,36.509383,"V9-total"
"21",-9.5587,-9.3,4,23.775708,0,36.34975,"V9-total"
"22",-151.05,-11.9873,5,26.635383,0,35.971183,"V9-total"
"23",-94.9527,6.4998,5,26.273758,2.892241,33.102675,"V9-total"
"24",-64.2489,31.6948,1,20.3973,NA,36.5996,"V9-total"
"25",-107.383,-28.1698,4,24.74625,0,36.157733,"V9-total"
"26",-64.2489,31.6948,1,20.3973,NA,36.5996,"V9-total"
"27",-135.018,-23.1571,3,23.790117,0,36.462792,"V9-total"
"28",-71.998,-33.6895,3,16.760633,NA,34.392308,"V9-total"
"29",-56.0916,-63.8768,3,-0.249275,NA,34.200608,"V9-total"
"30",-16.6034,44.0497,1,NA,NA,NA,"V9-total"
"31",-159.046,31.5168,1,15.284298,0.732507,34.36909,"V9-total"
"32",-84.589,-2.0133,5,23.8683,6.729337,35.0193,"V9-total"
"33",-16.6034,44.0497,1,NA,NA,NA,"V9-total"
"34",-37.1526,35.8427,1,17.663574,1.210278,36.240197,"V9-total"
"35",-53.1081,-64.3183,3,-1.6529,28.966365,34.159479,"V9-total"
"36",-157.957,22.7598,5,26.1713,0,35.293783,"V9-total"
"37",-84.5862,-0.0283,5,25.504283,5.715193,34.529983,"V9-total"
"38",-16.5455,44.0342,1,13.391246,4.454781,35.82768,"V9-total"
"39",-49.9181,34.1132,1,18.732683,0,36.4072,"V9-total"
"40",-159.046,31.5168,1,15.284298,0.732507,34.36909,"V9-total"
"41",-135.018,-23.1571,3,23.790517,0,36.47365,"V9-total"
"42",-53.1081,-64.3183,3,-1.6529,28.966365,34.159479,"V9-total"
"43",-134.923,-23.0242,3,23.635467,0,36.509383,"V9-total"
"44",-127.75,35.4002,1,13.159842,4.832723,33.241367,"V9-total"
"45",-121.77,32.9986,1,17.428,0,33.49059,"V9-total"
"46",-53.0063,-64.3595,3,-0.56135,11.992437,33.167617,"V9-total"
"47",-134.933,-23.1108,3,23.791908,0,36.514942,"V9-total"
"48",-158.996,31.5213,4,25.173925,0,35.181842,"V9-total"
"49",-101.229,-29.668,1,18.133813,0.110812,35.332925,"V9-total"
"50",-152.424,-6.6499,4,27.048817,4.953635,35.432808,"V9-total"
"51",-153.686,0.0222,5,26.080233,4.36571,35.135422,"V9-total"
"52",-107.638,-28.1874,2,18.334334,1.204771,35.368045,"V9-total"
"53",-71.3093,34.6712,1,19.1288,0.859819,36.4626,"V9-total"
"54",-84.6265,-1.9002,5,21.814577,10.945064,35.066093,"V9-total"
"55",-70.0377,39.2305,1,14.11885,3.478193,35.18335,"V9-total"
"56",-127.75,35.4002,1,13.159842,4.832723,33.241367,"V9-total"
"57",-16.8794,43.7056,1,NA,NA,NA,"V9-total"
"58",-140.285,-8.9109,5,22.1151,5.023264,35.88072,"V9-total"
"59",-84.612,0.0307,5,22.167492,9.684618,34.85135,"V9-total"
"60",-71.998,-33.6895,3,16.760633,NA,34.392308,"V9-total"
"61",-79.5395,29.6394,1,24.997917,1.190321,36.212042,"V9-total"
"62",-151.05,-11.9873,4,26.635383,0,35.971183,"V9-total"
"63",-140.285,-8.9109,2,22.1151,5.023264,35.88072,"V9-total"
"64",-157.944,22.7901,2,22.392973,0,35.303945,"V9-total"
"65",-134.923,-23.0244,3,23.704717,0,36.5242,"V9-total"
"66",-65.1342,-54.3739,3,7.3549,11.003731,32.945667,"V9-total"
"67",-102.954,6.3378,1,19.048358,22.087762,34.611755,"V9-total"
"68",-118.891,17.0854,4,24.52735,0,34.52465,"V9-total"
"69",-153.054,6.6112,4,28.29688,0.614344,34.79887,"V9-total"
"70",-152.424,-6.6499,4,27.048817,4.953635,35.432808,"V9-total"
"71",-9.5587,-9.3,4,23.775708,0,36.34975,"V9-total"
"72",-102.954,6.3378,1,19.048358,22.087762,34.611755,"V9-total"
"73",-152.371,11.2723,4,27.53096,0,34.48717,"V9-total"
"74",-122.001,32.7526,1,17.302025,0,33.45605,"V9-total"
"75",-67.1084,-57.7338,3,5.826408,NA,34.044933,"V9-total"
"76",-116.626,14.2035,5,26.4091,3.241307,33.884425,"V9-total"
"77",-135.018,-23.073,4,24.227692,0,36.462367,"V9-total"
"78",-140.285,-8.9109,5,22.1151,5.023264,35.88072,"V9-total"
"79",-121.77,32.9986,1,17.428,0,33.49059,"V9-total"
"80",-127.742,35.3671,3,19.249733,0,33.099008,"V9-total"
"81",-152.461,-6.628,4,26.952267,3.983892,35.506167,"V9-total"
"82",-153.054,6.6112,4,28.29688,0.614344,34.79887,"V9-total"
"83",-16.5455,44.0342,1,13.391246,4.454781,35.82768,"V9-total"
"84",-134.961,-23.2317,3,24.118008,0,36.5031,"V9-total"
"85",-70.0377,39.2305,1,14.11885,3.478193,35.18335,"V9-total"
"86",-88.394,25.5264,4,24.96555,0,36.193733,"V9-total"
"87",-135.018,-23.073,4,24.227692,0,36.462367,"V9-total"
"88",-79.3017,7.4122,5,26.62925,0,28.919008,"V9-total"
"89",-79.7064,29.851,4,24.792543,0.90708,36.213254,"V9-total"
"90",-56.7938,-63.4015,3,-0.760158,NA,34.431858,"V9-total"
"91",-116.626,14.2035,4,26.4091,3.241307,33.884425,"V9-total"
"92",-52.182,-40.6511,3,19.307392,0,35.6061,"V9-total"
"93",-134.924,-23.1595,3,24.060917,0,36.493267,"V9-total"
"94",-152.461,-6.628,5,26.952267,3.983892,35.506167,"V9-total"
"95",-134.923,-23.0244,3,23.704717,0,36.5242,"V9-total"
"96",-72.9669,36.3698,1,22.550758,0,36.4108,"V9-total"
"97",-107.638,-28.1874,2,18.334334,1.204771,35.368045,"V9-total"
"98",-80.0454,9.8481,4,27.119358,0,34.347208,"V9-total"
"99",-9.5587,-9.3,3,23.775708,0,36.34975,"V9-total"
"100",-28.9373,36.1811,1,16.751066,1.56535,36.162887,"V9-total"
"101",-158.996,31.5213,4,25.173925,0,35.181842,"V9-total"
"102",-29.023,36.1715,3,17.260108,0.334082,36.23775,"V9-total"
"103",-152.371,11.2723,4,27.53096,0,34.48717,"V9-total"
"104",-67.1084,-57.7338,3,5.826408,NA,34.044933,"V9-total"
"105",-104.787,-21.146,4,23.788833,0,36.129117,"V9-total"
"106",-127.742,35.3671,3,19.249733,0,33.099008,"V9-total"
"107",-101.229,-29.668,1,18.133813,0.110812,35.332925,"V9-total"
"108",-73.1066,-34.0614,3,18.014508,0,34.295417,"V9-total"
"109",-107.383,-28.1698,4,24.74625,0,36.157733,"V9-total"
"110",-16.8794,43.7056,1,NA,NA,NA,"V9-total"
"111",-37.3032,35.9346,1,17.583075,0,36.3123,"V9-total"
"112",-53.0063,-64.3595,3,-0.56135,11.992437,33.167617,"V9-total"
"113",-88.394,25.5264,1,24.96555,0,36.193733,"V9-total"
"114",-65.1342,-54.3739,3,7.3549,11.003731,32.945667,"V9-total"
"115",-16.8794,43.7056,1,NA,NA,NA,"V9-total"
"116",-16.8344,43.6792,1,14.28065,2.999226,35.986042,"V9-total"
"117",-96.0122,-12.9723,5,20.649431,1.501977,35.544655,"V9-total"
"118",38.1983,22.1233,5,27.13995,0.04326,38.98795,"V9-total"
"119",-49.529,-62.0385,3,0.67108,27.501159,34.35388,"V9-total"
"120",-60.6476,-60.2287,3,1.84402,24.423039,33.71972,"V9-total"
"121",-17.9099,-8.7789,4,25.02619,0.263475,36.42324,"V9-total"
"122",-57.9446,-47.2007,3,6.975635,17.111823,34.057594,"V9-total"
"123",-142.557,-8.9111,5,26.780158,4.985942,35.427733,"V9-total"
"124",-140.283,-8.9068,5,26.576175,3.868407,35.359483,"V9-total"
"125",-95.9759,-13.0023,5,25.2512,4.590737,35.835267,"V9-total"
"126",-100.633,-16.9601,5,22.76873,2.568726,35.97144,"V9-total"
"127",-49.2139,-62.2231,3,-0.78154,33.109231,34.319478,"V9-total"
"128",-85.2732,-5.2669,5,19.566255,20.328327,34.900284,"V9-total"
"129",-84.5766,1.9928,2,27.617558,1.210114,33.3676,"V9-total"
"130",-35.1803,-20.9354,4,23.349542,0.030608,37.101367,"V9-total"
"131",-140.522,-9.1504,5,26.518986,5.111856,35.396729,"V9-total"
"132",-58.2902,-47.1863,3,7.321517,17.091069,34.048642,"V9-total"
"133",-100.675,-16.9587,2,19.881449,1.411516,35.687249,"V9-total"
"134",-3.1759,-20.4091,1,19.776808,0.168013,36.376225,"V9-total"
"135",-35.3498,-21.0292,2,21.643283,0.580918,36.724683,"V9-total"
"136",-139.196,-8.9971,5,26.54413,3.986359,35.3662,"V9-total"
"137",-142.546,-8.8999,2,23.706525,3.67243,36.272675,"V9-total"
"138",-85.1545,-5.2529,5,24.943108,11.688971,34.748175,"V9-total"
"139",-84.5546,2.0299,5,26.532035,3.886605,34.344808,"V9-total"
"140",2.7996,41.6686,3,NA,NA,NA,"V9-total"
"141",4.665,-31.0266,1,16.832058,NA,35.68685,"V9-total"
"142",17.7103,-32.2401,3,12.83445,0.405607,34.845292,"V9-total"
"143",-140.597,-9.0714,5,25.221787,4.458677,35.797875,"V9-total"
"144",-17.9604,-8.7296,1,24.112672,0.241265,36.603343,"V9-total"
"145",-139.139,-9.0063,2,24.69625,2.333576,36.097575,"V9-total"
"146",-43.2705,-30.1484,1,19.30925,0.478929,36.27495,"V9-total"
"147",4.6802,-31.027,1,16.787411,NA,35.687803,"V9-total"
"148",-140.285,-8.9109,2,22.1151,5.023264,35.88072,"V9-total"
"149",-43.2899,-30.1367,4,19.854083,0,36.32425,"V9-total"
"150",38.1983,22.1233,1,26.69135,2.517913,39.031,"V9-total"
